"uniqueID","mediaTitle","category","year","countryOrigin","genre","peopleScore","criticScore"
"sqs121800022m4","Defining Moments (Ep3)","Television",NA,NA,NA,NA,NA
"sqs121800165m4","Viola and Rihana (Ep5)","Television",NA,NA,NA,NA,NA
"sqs121800129m4","Ep 3 BG","Television",NA,NA,NA,NA,NA
"sqs121800172m4","Episode 101","Television",NA,NA,NA,NA,NA
"sqs121800136m4","Breathtaking Sight of First Class Professionals","Television",NA,NA,NA,NA,NA
"sqs121800013m4","Ep 13 What's Wrong with Secretary Kim","Television",NA,NA,NA,NA,NA
"sqs121800021m4","The Real Me (Ep2)","Television",NA,NA,NA,NA,NA
"sqs121800168m4","Kim K's Gold-Eating Bestie & Ferrari Donuts (Ep2)","Television",NA,NA,NA,NA,NA
"sqs121800170m4","Formula E: Racing Re-Charged","Television",NA,NA,NA,NA,NA
"sqs121800101m4","A Quarrel About an Heiress (Ep3)","Television",NA,NA,NA,NA,NA
"sqs121800174m4","US Open Tennis Highlight 2018","Television",NA,NA,NA,NA,NA
"sqs121800005m4","Ep 5 What's Wrong with Secretary Kim","Television",NA,NA,NA,NA,NA
"sqs121800011m4","Ep 11 What's Wrong with Secretary Kim","Television",NA,NA,NA,NA,NA
"sqs121800117m4","Ep 7 Dad, Where Are We Going?","Television",NA,NA,NA,NA,NA
"sqs121800135m4","Ep 9 BG","Television",NA,NA,NA,NA,NA
"sqs121800169m4","Ep 3 Being Serena","Television",NA,NA,NA,NA,NA
"sqs121800010m4","Ep 10 What's Wrong with Secretary Kim","Television",NA,NA,NA,NA,NA
"sqs121800152m4","Carnarvon (Ep12)","Television",NA,NA,NA,NA,NA
"sqs121800138m4","Ep 11 Wakako-Zake","Television",NA,NA,NA,NA,NA
"sqs121800147m4","Culinary Enlightenment (Ep4)","Television",NA,NA,NA,NA,NA
"sqs121800167m4","Ep 10 Million Dollar Car Hunters","Television",NA,NA,NA,NA,NA
"sqs121800056m4","The Smoke Screen (Ep3)","Television",NA,NA,NA,NA,NA
"sqs121800004m4","Ep 4 What's Wrong with Secretary Kim","Television",NA,NA,NA,NA,NA
"sqs121800045m4","Dinner At Eight (S01, Ep3)","Television",NA,NA,NA,NA,NA
"sqs121800150m4","Soft Drinks (Ep6)","Television",NA,NA,NA,NA,NA
"sqs121800067m4","Petey IV  (S01, Ep7)","Television",NA,NA,NA,NA,NA
"sqs121800018m4","Going to Town (S01, Ep2)","Television",NA,NA,NA,NA,NA
"sqs121800160m4","Plough-Shaped House, Devon (Ep7)","Television",NA,NA,NA,NA,NA
"sqs121800015m4","Ep 15 What's Wrong with Secretary Kim","Television",NA,NA,NA,NA,NA
"sqs121800158m4","Jay Pharoah; Malin Akerman; Matteo Lane (Ep8)","Television",NA,NA,NA,NA,NA
"sqs121800114m4","Dee Hsu (Ep5)","Television",NA,NA,NA,NA,NA
"sqs121800008m4","Ep 8 What's Wrong with Secretary Kim","Television",NA,NA,NA,NA,NA
"sqs121800057m4","The Key (Ep4)","Television",NA,NA,NA,NA,NA
"sqs121800043m4","The Good Son (S01, Ep1)","Television",NA,NA,NA,NA,NA
"sqs121800086m4","Doctor Who: Twice Upon a Time","Television",NA,NA,NA,NA,NA
"sqs121800061m4","One of Us (Ep8)","Television",NA,NA,NA,NA,NA
"sqs121800146m4","Food Under Fire (Ep12)","Television",NA,NA,NA,NA,NA
"sqs121800131m4","Ep 5 BG","Television",NA,NA,NA,NA,NA
"sqs121800134m4","Ep 8 BG","Television",NA,NA,NA,NA,NA
"sqs121800014m4","Ep 14 What's Wrong with Secretary Kim","Television",NA,NA,NA,NA,NA
"sqs121800044m4","Space Quest (S01, Ep2)","Television",NA,NA,NA,NA,NA
"sqs121800017m4","Pilot - Camping (S01, Ep1)","Television",NA,NA,NA,NA,NA
"sqs121800162m4","Baby Got Back (Ep4)","Television",NA,NA,NA,NA,NA
"sqs121800104m4","In Which a Painter's Daughter Meets a King (Ep6)","Television",NA,NA,NA,NA,NA
"sqs121800142m4","Futuris","Television",NA,NA,NA,NA,NA
"sqs121800108m4","Parental Glideance (Ep7)","Television",NA,NA,NA,NA,NA
"sqs121800109m4","Rudolph’s Shiny New Year","Television",NA,NA,NA,NA,NA
"sqs121800103m4","In Which Battles Are Won and Lost (Ep5)","Television",NA,NA,NA,NA,NA
"sqs121800111m4","Tiny Bunch (Compile)","Television",NA,NA,NA,NA,NA
"sqs121800161m4","Alaska / Nottingham (Ep4)","Television",NA,NA,NA,NA,NA
"sqs121800157m4","The Survivor Brain (Ep6)","Television",NA,NA,NA,NA,NA
"sqs121800141m4","Crushing Blows (Ep4)","Television",NA,NA,NA,NA,NA
"sqs121800123m4","Ep 5 Singer 2018","Television",NA,NA,NA,NA,NA
"sqs121800137m4","Detective Team 8 for Local Gourmet in Central Japan","Television",NA,NA,NA,NA,NA
"sqs121800116m4","Ep 6 Dad, Where Are We Going?","Television",NA,NA,NA,NA,NA
"sqs121800024m4","Ghost Town (Ep5)","Television",NA,NA,NA,NA,NA
"sqs121800046m4","I Hate Frasier Crane (S01, Ep4)","Television",NA,NA,NA,NA,NA
"sqs121800107m4","Pineapple Lassie / Cheese Stuffed Tomatoes...","Television",NA,NA,NA,NA,NA
"sqs121800012m4","Ep 12 What's Wrong with Secretary Kim","Television",NA,NA,NA,NA,NA
"sqs121800058m4","A Real Partnership (Ep5)","Television",NA,NA,NA,NA,NA
"sqs121800060m4","The Bishop's Gambit (Ep7)","Television",NA,NA,NA,NA,NA
"sqs121800145m4","Tribe vs. Pride","Television",NA,NA,NA,NA,NA
"sqs121800125m4","Ep 7 Singer 2018","Television",NA,NA,NA,NA,NA
"sqs121800171m4","Episode 13 (2018)","Television",NA,NA,NA,NA,NA
"sqs121800112m4","Yogi's First Christmas","Television",NA,NA,NA,NA,NA
"va08402t","Singapore Airlines Next Generation Cabin Products","Television",NA,NA,NA,"0.00","0.00"
"sqs081600175m4","Wedgwood for Singapore Airlines","Television",NA,NA,NA,"0.00","0.00"
"sqs061500746m4","Singapore Girl Wax Figure","Television",NA,NA,NA,"0.00","0.00"
"sqs031600686m4","No Detail Is Too Small","Television",NA,NA,NA,"0.00","0.00"
"sqs111400692m4","Singapore (English & Mandarin)","Television",NA,NA,NA,"0.00","0.00"
"sqs111400693m4","Singapore (Japanese)","Television",NA,NA,NA,"0.00","0.00"
"sqs1108141w4","India","Television",NA,NA,NA,"0.00","0.00"
"sqs101400712m4","Our New Home at London Heathrow...","Television",NA,NA,NA,"0.00","0.00"
"sqs091400709m4","South Australia","Television",NA,NA,NA,NA,"Our Destination Videos take you through the essentials - from tips on arrival to the best places to stay, eat, and shop. Let us be your guide to South Australia."
"sqs071600694m4","Biosecurity Advisory New Zealand","Television",NA,NA,NA,"0.00","0.00"
"sqs071600695m4","Passenger Health Advisory Taiwan","Television",NA,NA,NA,"0.00","0.00"
"sqs021400706m4","New Business Class Seat","Television",NA,NA,NA,"0.00","0.00"
"sqs121600190m4","Bali","Television",NA,"SIN",NA,"0.00","0.00"
"sqs041700157m4","Bioscreening Advisory Singapore","Television",NA,"SIN",NA,"0.00","0.00"
"sqs061700140m4","Brisbane","Television",2017,"SIN",NA,"0.00","0.00"
"sqs061700141m4","Melbourne","Television",2017,"SIN",NA,"0.00","0.00"
"sqs061700142m4","Perth","Television",2017,"SIN",NA,"0.00","0.00"
"sqs061700143m4","Sydney","Television",2017,"SIN",NA,"0.00","0.00"
"sqs081700169m4","The Magic Pen","Television",2017,"SIN","Singapore Airlines","0.00","0.00"
"sqs101700159m4","A journey through your glass of wine with…","Television",2017,"SIN",NA,"0.00","0.00"
"sqs021800085m4","Chapter Fourteen: A Kiss Before Dying (Ep1)","Television",2017,"USA","Drama","7.80","3.90"
"sqs021800086m4","Chapter Fifteen: Nighthawks (Ep2)","Television",2017,"USA","Drama","7.80","3.90"
"sqs021800087m4","Chapter Sixteen: The Watcher In The Woods…","Television",2017,"USA","Drama","7.80","3.90"
"sqs021800088m4","Chapter Seventeen: The Town That Dreaded…","Television",2017,"USA","Drama","7.80","3.90"
"sqs021800089m4","Chapter Eighteen: When a Stranger Calls (Ep5)","Television",2017,"USA","Drama","7.80","3.90"
"sqs021800090m4","Chapter Nineteen: Death Proof (Ep6)","Television",2017,"USA","Drama","7.80","3.90"
"sqs021800091m4","Chapter Twenty: Tales from the Darkside (Ep7)","Television",2017,"USA","Drama","7.80","3.90"
"sqs041800038m4","Where Paradise Is Home (S01, Ep1)","Television",2015,NA,"Drama","7.50","3.80"
"sqs041800039m4","Do Not Discuss Your Life Before (S01, Ep2)","Television",2015,NA,"Drama","7.50","3.80"
"sqs041800040m4","Our Town, Our Law (S01, Ep3)","Television",2015,NA,"Drama","7.50","3.80"
"sqs041800041m4","One of Our Senior Realtors Has Chosen to Retire (S01, Ep4)","Television",2015,NA,"Drama","7.50","3.80"
"sqs041800042m4","The Truth (S01, Ep5)","Television",2015,NA,"Drama","7.50","3.80"
"sqs041800043m4","Choices (S01, Ep6)","Television",2015,NA,"Drama","7.50","3.80"
"sqs041800044m4","Betrayal (S01, Ep7)","Television",2015,NA,"Drama","7.50","3.80"
"sqs041800045m4","The Friendliest Place On Earth (S01, Ep8)","Television",2015,NA,"Drama","7.50","3.80"
"sqs041800046m4","A Reckoning (S01, Ep9)","Television",2015,NA,"Drama","7.50","3.80"
"sqs041800047m4","Cycle (S01, Ep10)","Television",2015,NA,"Drama","7.50","3.80"
"sqts041800419","Wayward Pines","Television",2015,NA,"Drama","7.50","3.80"
"sqs041800070m4","The Big Bang (S01, Ep1)","Television",2016,NA,"Comedy","8.50","4.30"
"sqs041800071m4","Streets On Lock (S01, Ep2)","Television",2016,NA,"Comedy","8.50","4.30"
"sqs041800072m4","Go for Broke (S01, Ep3)","Television",2016,NA,"Comedy","8.50","4.30"
"sqs041800073m4","The Streisand Effect (S01, Ep4)","Television",2016,NA,"Comedy","8.50","4.30"
"sqs041800074m4","Nobody Beats the Biebs (S01, Ep5)","Television",2016,NA,"Comedy","8.50","4.30"
"sqs041800075m4","Value (S01, Ep6)","Television",2016,NA,"Comedy","8.50","4.30"
"sqs041800076m4","B.A.N. (S01, Ep7)","Television",2016,NA,"Comedy","8.50","4.30"
"sqs041800077m4","The Club (S01, Ep8)","Television",2016,NA,"Comedy","8.50","4.30"
"sqs041800078m4","Juneteenth (S01, Ep9)","Television",2016,NA,"Comedy","8.50","4.30"
"sqs041800079m4","The Jacket (S01, Ep10)","Television",2016,NA,"Comedy","8.50","4.30"
"sqts041800420","Atlanta","Television",2016,NA,"Comedy","8.50","4.30"
"sqs041800115m4","The Original (S01, Ep1)","Television",2016,NA,"Drama","9.10","4.60"
"sqs041800116m4","Chestnut (S01, Ep2)","Television",2016,NA,"Drama","9.10","4.60"
"sqs041800117m4","The Stray (S01, Ep3)","Television",2016,NA,"Drama","9.10","4.60"
"sqs041800118m4","Dissonance Theory (S01, Ep4)","Television",2016,NA,"Drama","9.10","4.60"
"sqs041800119m4","Contrapasso (S01, Ep5)","Television",2016,NA,"Drama","9.10","4.60"
"sqs041800120m4","The Adversary (S01, Ep6)","Television",2016,NA,"Drama","9.10","4.60"
"sqs041800121m4","Trompe L'Oeil (S01, Ep7)","Television",2016,NA,"Drama","9.10","4.60"
"sqs041800122m4","Trace Decay (S01, Ep8)","Television",2016,NA,"Drama","9.10","4.60"
"sqs041800123m4","The Well-Tempered Clavier (S01, Ep9)","Television",2016,NA,"Drama","9.10","4.60"
"sqs041800124m4","The Bicameral Mind (S01, Ep10)","Television",2016,NA,"Drama","9.10","4.60"
"sqts041800418","Westworld","Television",2016,NA,"Drama","9.10","4.60"
"sqs041800083m4","The Solo Oscillation (Ep13)","Television",2017,"USA","Comedy","8.30","4.20"
"sqs041800084m4","The Separation Triangulation (Ep14)","Television",2017,"USA","Comedy","8.30","4.20"
"sqs041800096m4","A Computer, a Plastic Pony, and a Case of Beer (Ep12)","Television",2017,"USA","Comedy","6.60","3.30"
"sqs051800098m4","Chapter Twenty-One: House of the Devil","Television",2017,"USA","Drama","7.80","3.90"
"sqs051800099m4","Chapter Twenty-Two: Silent Night, Deadly Night","Television",2017,"USA","Drama","7.80","3.90"
"sqs051800100m4","Chapter Twenty-Three: The Blackboard Jungle","Television",2017,"USA","Drama","7.80","3.90"
"sqs051800101m4","Chapter Twenty-Four: The Wrestler","Television",2017,"USA","Drama","7.80","3.90"
"sqs051800102m4","Chapter Twenty-Five: The Wicked and the Divine","Television",2017,"USA","Drama","7.80","3.90"
"sqs051800103m4","Chapter Twenty-Six: The Tell-Tale Heart","Television",2017,"USA","Drama","7.80","3.90"
"sqs051800177m4","Star Alliance Product Benefit Film","Television",2018,"SGP","Travel","0.00","4.00"
"sqs051800090m4","Chapter 1 (S01, Ep1)","Television",2017,"USA","Drama","8.70","4.40"
"sqs051800091m4","Chapter 2 (S01, Ep2)","Television",2017,"USA","Drama","8.70","4.40"
"sqs051800092m4","Chapter 3 (S01, Ep3)","Television",2017,"USA","Drama","8.70","4.40"
"sqs051800093m4","Chapter 4 (S01, Ep4)","Television",2017,"USA","Drama","8.70","4.40"
"sqs051800094m4","Chapter 5 (S01, Ep5)","Television",2017,"USA","Drama","8.70","4.40"
"sqs051800095m4","Chapter 6 (S01, Ep6)","Television",2017,"USA","Drama","8.70","4.40"
"sqs051800096m4","Chapter 7 (S01, Ep7)","Television",2017,"USA","Drama","8.70","4.40"
"sqs051800097m4","Chapter 8 (S01, Ep8)","Television",2017,"USA","Drama","8.70","4.40"
"sqts051800287","Legion","Television",2017,"USA","Drama","8.70","4.40"
"sqts061800304","Downton Abbey","Television",2010,"GBR","Classic TV","8.70","4.40"
"sqs061800021m4","S01 Ep1 Downton Abbey","Television",2010,"GBR","Drama","8.70","4.40"
"sqs061800022m4","S01 Ep2 Downton Abbey","Television",2010,"GBR","Drama","8.70","4.40"
"sqs061800023m4","S01 Ep3 Downton Abbey","Television",2010,"GBR","Drama","8.70","4.40"
"sqs061800024m4","S01 Ep4 Downton Abbey","Television",2010,"GBR","Drama","8.70","4.40"
"sqs061800025m4","S01 Ep5 Downton Abbey","Television",2010,"GBR","Drama","8.70","4.40"
"sqs061800026m4","S01 Ep6 Downton Abbey","Television",2010,"GBR","Drama","8.70","4.40"
"sqs061800027m4","S01 Ep7 Downton Abbey","Television",2010,"GBR","Drama","8.70","4.40"
"sqts061800305","Rizzoli & Isles","Television",2010,"USA","Classic TV","7.60","3.80"
"sqs061800038m4","See One, Do One, Teach One (S01, Ep1)","Television",2010,"USA","Drama","7.60","3.80"
"sqs061800039m4","Boston Strangler Redux (S01, Ep2)","Television",2010,"USA","Drama","7.60","3.80"
"sqs061800040m4","Sympathy For The Devil (S01, Ep3)","Television",2010,"USA","Drama","7.60","3.80"
"sqs061800041m4","She Works Hard For The Money (S01, Ep4)","Television",2010,"USA","Drama","7.60","3.80"
"sqs061800042m4","Money For Nothing (S01, Ep5)","Television",2010,"USA","Drama","7.60","3.80"
"sqs061800056m4","The Novelization Correlation (Ep15)","Television",2017,"USA","Comedy","8.30","4.20"
"sqs061800057m4","The Neonatal Nomenclature (Ep16)","Television",2017,"USA","Comedy","8.30","4.20"
"sqs061800058m4","The Athenaeum Allocation (Ep17)","Television",2017,"USA","Comedy","8.30","4.20"
"sqts061800306","Mozart in the Jungle","Television",2014,"USA","Comedy","8.20","4.10"
"sqs061800073m4","Pilot - Mozart in the Jungle (S01, Ep1)","Television",2014,"USA","Comedy","8.20","4.10"
"sqs061800074m4","Fifth Chair (S01, Ep2)","Television",2014,"USA","Comedy","8.20","4.10"
"sqs061800075m4","Silent Symphony (S01, Ep3)","Television",2014,"USA","Comedy","8.20","4.10"
"sqs061800076m4","You Have Insulted Tchaikovsky (S01, Ep4)","Television",2014,"USA","Comedy","8.20","4.10"
"sqs061800077m4","I'm with the Maestro (S01, Ep5)","Television",2014,"2014","Comedy","Comedy","Rodrigo seeks guidance to rid himself of his dreadful passion."",,0,,USA,8.20,4.10
734565,1,""The Rehearsal (S01, Ep6)"
"sqs061800078m4","The Rehearsal (S01, Ep6)","Television",2014,"USA","Comedy","8.20","4.10"
"sqs061800079m4","You Go to My Head (S01, Ep7)","Television",2014,"USA","Comedy","8.20","4.10"
"sqs061800080m4","Mozart with the Bacon (S01, Ep8)","Television",2014,"USA","Comedy","8.20","4.10"
"sqs061800081m4","Now, Fortissimo! (S01, Ep9)","Television",2014,"USA","Comedy","8.20","4.10"
"sqs061800082m4","Opening Night (S01, Ep10)","Television",2014,"USA","Comedy","8.20","4.10"
"sqs061800086m4","A Sneeze, Detention and Sissy Spacek (S01, Ep13)","Television",2017,"USA","Comedy","6.80","3.40"
"sqs061800087m4","Potato Salad, a Broomstick, and Whiskey (S01, Ep14)","Television",2017,"USA","Comedy","6.80","3.40"
"sqs061800088m4","Dolomite, Apple Slices, and Mystery Woman (S01, Ep15)","Television",2017,"USA","Comedy","6.80","3.40"
"sqs061800116m4","The New World (S01, Ep1)","Television",2015,"USA","Drama","8.10","4.10"
"sqs061800117m4","Sunrise (S01, Ep2)","Television",2015,"USA","Drama","8.10","4.10"
"sqs061800118m4","The Illustrated Woman (S01, Ep3)","Television",2015,"USA","Drama","8.10","4.10"
"sqts061800308","Buffy the Vampire Slayer","Television",NA,"1997","Drama","Drama","Buffy Summers, a high school sophomore, faces her destiny as a slayer of the undead."
"sqs061800001m4","Welcome to the Hellmouth (S01, Ep1)","Television",1997,"USA","Drama","8.20","4.10"
"sqs061800002m4","The Harvest (S01, Ep2)","Television",1997,"USA","Drama","8.20","4.10"
"sqs061800003m4","Witch (S01, Ep3)","Television",1997,"USA","Drama","8.20","4.10"
"sqs061800004m4","Teacher's Pet (S01, Ep4)","Television",1997,"USA","Drama","8.20","4.10"
"sqs061800005m4","Never Kill a Boy On the First Date (S01, Ep5)","Television",1997,"USA","Drama","8.20","4.10"
"sqs061800006m4","The Pack (S01, Ep6)","Television",1997,"USA","Drama","8.20","4.10"
"sqs061800007m4","Angel (S01, Ep7)","Television",1997,"USA","Drama","8.20","4.10"
"sqs061800008m4","I, Robot, You, Jane (S01, Ep8)","Television",1997,"USA","Drama","8.20","4.10"
"sqs061800009m4","The Puppet Show (S01, Ep9)","Television",1997,"USA","Drama","8.20","4.10"
"sqs061800010m4","Nightmares (S01, Ep10)","Television",1997,"USA","Drama","8.20","4.10"
"sqs061800011m4","Out of Mind, Out of Sight (S01, Ep11)","Television",1997,"USA","Drama","8.20","4.10"
"sqs061800012m4","Prophecy Girl (S01, Ep12)","Television",1997,"USA","Drama","8.20","4.10"
"sqts061800309","Da Vinci's Demons","Television",NA,"USA","Drama","8.00","4.00"
"sqs061800013m4","The Hanged Man (S01, Ep1)","Television",2013,"USA","Drama","8.00","4.00"
"sqs061800014m4","The Serpent (S01, Ep2)","Television",2013,"USA","Drama","8.00","4.00"
"sqs061800015m4","The Prisoner (S01, Ep3)","Television",2013,"USA","Drama","8.00","4.00"
"sqs061800016m4","The Magician (S01, Ep4)","Television",2013,"USA","Drama","8.00","4.00"
"sqs061800017m4","The Tower (S01, Ep5)","Television",2013,"USA","Drama","8.00","4.00"
"sqs061800018m4","The Devil (S01, Ep6)","Television",2013,"USA","Drama","8.00","4.00"
"sqs061800019m4","The Hierophant (S01, Ep7)","Television",2013,"USA","Drama","8.00","4.00"
"sqs061800020m4","The Lovers (S01, Ep8)","Television",2013,"USA","Drama","8.00","4.00"
"sqts061800310","Nikita","Television",NA,"USA","Drama","7.70","3.90"
"sqs061800028m4","Pilot - Nikita (S01, Ep1)","Television",2010,"USA","Drama","7.70","3.90"
"sqs061800029m4","2.0 (S01, Ep2)","Television",2010,"USA","Drama","7.70","3.90"
"sqs061800030m4","Kill Jill (S01, Ep3)","Television",2010,"USA","Drama","7.70","3.90"
"sqs061800031m4","Rough Trade (S01, Ep4)","Television",2010,"USA","Drama","7.70","3.90"
"sqs061800032m4","The Guardian (S01, Ep5)","Television",2010,"USA","Drama","7.70","3.90"
"sqs061800033m4","Resistance (S01, Ep6)","Television",2010,"USA","Drama","7.70","3.90"
"sqs061800034m4","The Recruit (S01, Ep7)","Television",2010,"USA","Drama","7.70","3.90"
"sqs061800035m4","Phoenix (S01, Ep8)","Television",2010,"USA","Drama","7.70","3.90"
"sqs061800036m4","One Way (S01, Ep9)","Television",2010,"USA","Drama","7.70","3.90"
"sqs061800037m4","Dark Matter (S01, Ep10)","Television",2010,"USA","Drama","7.70","3.90"
"sqts061800311","Wilfred","Television",NA,"USA","Comedy","7.80","3.90"
"sqs061800043m4","Happiness (S01, Ep1)","Television",2011,"USA","Comedy","7.80","3.90"
"sqs061800044m4","Trust (S01, Ep2)","Television",2011,"USA","Comedy","7.80","3.90"
"sqs061800045m4","Fear (S01, Ep3)","Television",2011,"USA","Comedy","7.80","3.90"
"sqs061800046m4","Acceptance (S01, Ep4)","Television",2011,"USA","Comedy","7.80","3.90"
"sqs061800047m4","Respect (S01, Ep5)","Television",2011,"USA","Comedy","7.80","3.90"
"sqs061800048m4","Conscience (S01, Ep6)","Television",2011,"USA","Comedy","7.80","3.90"
"sqs061800049m4","Pride (S01, Ep7)","Television",2011,"USA","Comedy","7.80","3.90"
"sqs061800050m4","Anger (S01, Ep8)","Television",2011,"USA","Comedy","7.80","3.90"
"sqs061800051m4","Compassion (S01, Ep9)","Television",2011,"USA","Comedy","7.80","3.90"
"sqs061800052m4","Isolation (S01, Ep10)","Television",2011,"USA","Comedy","7.80","3.90"
"sqs061800053m4","Doubt (S01, Ep11)","Television",2011,"USA","Comedy","7.80","3.90"
"sqs061800054m4","Sacrifice (S01, Ep12)","Television",2011,"USA","Comedy","7.80","3.90"
"sqs061800055m4","Identity (S01, Ep13)","Television",2011,"USA","Comedy","7.80","3.90"
"sqts061800307","McMafia","Television",NA,"GBR","Drama","7.80","3.90"
"sqs061800126m4","Ep 1 McMafia","Television",2018,"GBR","Drama","7.80","3.90"
"sqs061800127m4","Ep 2 McMafia","Television",2018,"GBR","Drama","7.80","3.90"
"sqs061800128m4","Ep 3 McMafia","Television",2018,"GBR","Drama","7.80","3.90"
"sqs061800129m4","Ep 4 McMafia","Television",2018,"GBR","Drama","7.80","3.90"
"sqs061800130m4","Ep 5 McMafia","Television",2018,"GBR","Drama","7.80","3.90"
"sqs061800131m4","Ep 6 McMafia","Television",2018,"GBR","Drama","7.80","3.90"
"sqs061800132m4","Ep 7 McMafia","Television",2018,"GBR","Drama","7.80","3.90"
"sqs061800133m4","Ep 8 McMafia","Television",2018,"GBR","Drama","7.80","3.90"
"sqts061800298","The Singapore Airlines Experience","Television",2018,"SGP","Lifestyle","0.00","4.00"
"sqts061800299","The Singapore Airlines Experience","Television",2018,"SGP","Lifestyle","0.00","4.00"
"sqs061800218m4","Stay Connected with Singapore Airlines","Television",NA,NA,NA,"0.00","0.00"
"sqs071800001m4","Jack Meets Dennis (S01, Ep6)","Television",2006,"USA","Comedy","8.20","4.10"
"sqs071800002m4","Tracy Does Conan (S01, Ep7)","Television",2006,"USA","Comedy","8.20","4.10"
"sqs071800003m4","The Break-Up (S01, Ep8)","Television",2006,"USA","Comedy","8.20","4.10"
"sqs071800004m4","The Baby Show (S01, Ep9)","Television",2006,"USA","Comedy","8.20","4.10"
"sqs071800005m4","The Rural Juror (S01, Ep10)","Television",2006,"2006","Comedy","Comedy","Jenna anxiously awaits the limited release of her indie film, The Rural Juror."",,0,,USA,8.20,4.10
737038,1,""30 Rock"
"sqs071800006m4","The Wrong Mans (S01, Ep1)","Television",2013,"GBR","Comedy","7.90","4.00"
"sqs071800007m4","Bad Mans (S01, Ep2)","Television",2013,"GBR","Comedy","7.90","4.00"
"sqs071800008m4","Dead Mans (S01, Ep3)","Television",2013,"GBR","Comedy","7.90","4.00"
"sqs071800009m4","Inside Mans (S01, Ep4)","Television",2013,"GBR","Comedy","7.90","4.00"
"sqs071800010m4","Wanted Mans (S01, Ep5)","Television",2013,"GBR","Comedy","7.90","4.00"
